Informe detallado de palabras clave negativas
Desde siempre
keyword_text,match_type
sin tarjeta,PHRASE
soat,BROAD
tecnomecanica,BROAD
multas,BROAD
traspaso,BROAD
levantamiento de prenda,PHRASE
sin licencia,PHRASE
peritaje,BROAD
sin tarjeta de credito,PHRASE
sin cuota inicial,PHRASE
runt,BROAD
