Informe detallado de palabras clave negativas
Desde siempre
keyword_text,match_type
wallpaper,BROAD
clipart,BROAD
miniatura,BROAD
dibujo,BROAD
caricatura,BROAD
juguete,BROAD
gta,BROAD
private transfer,PHRASE
juego,BROAD
imagenes,BROAD
png,BROAD
hot wheels,PHRASE
control remoto,PHRASE
fotos,BROAD
maqueta,BROAD
para colorear,PHRASE
a escala,PHRASE
