Informe detallado de palabras clave negativas
Desde siempre
keyword_text,match_type
grua,BROAD
jeep,BROAD
minivan,BROAD
bote,BROAD
pickup,BROAD
ban,BROAD
patineta,BROAD
blindado,BROAD
retroexcavadora,BROAD
moto,BROAD
cadillac,BROAD
maquinaria,BROAD
tractor,BROAD
de lujo,BROAD
volqueta,BROAD
tractomula,BROAD
platón,BROAD
bicicleta,BROAD
camiones,BROAD
pick up,BROAD
montacarga,BROAD
motocicleta,BROAD
camion,BROAD
eléctrico,BROAD
eléctricos,BROAD
yate,BROAD
furgonetas,BROAD
van,BROAD
motos,BROAD
blindados,BROAD
furgoneta,BROAD
blindadas,BROAD
vans,BROAD
minivans,BROAD
electricos,BROAD
cuatrimoto,BROAD
buseta,BROAD
electrico,BROAD
platon,BROAD
lancha,BROAD
