Informe detallado de palabras clave negativas
Desde siempre
keyword_text,match_type
soat,BROAD
sin tarjeta,PHRASE
traspaso,BROAD
multas,BROAD
tecnomecanica,BROAD
runt,BROAD
sin tarjeta de credito,PHRASE
sin cuota inicial,PHRASE
levantamiento de prenda,PHRASE
peritaje,BROAD
sin licencia,PHRASE
